Artist_Group,Artist,Title,QR_Code,Released,Record_Case
"Alvin Stardust","Alvin Stardust","You You You",https://www.discogs.com/release/1885937,1974,"7"" - Archive 01"
"Alyson Williams","Alyson Williams","I Need Your Lovin' ",https://www.discogs.com/release/387815,1989,"7"" - Archive 01"
"Alyson Williams","Alyson Williams","I Second That Emotion",https://www.discogs.com/release/1926045,1989,"7"" - Archive 01"
"Amazing Rhythm Aces","Amazing Rhythm Aces","Third Rate Romance",https://www.discogs.com/release/4547998,1975,"7"" - Archive 01"
Amazulu,Amazulu,"Don't You Just Know It",https://www.discogs.com/release/3159357,1985,"7"" - Archive 01"
Amazulu,Amazulu,Excitable,https://www.discogs.com/release/95853,1985,"7"" - Archive 01"
Amazulu,Amazulu,"Montego Bay",https://www.discogs.com/release/1784328,1986,"7"" - Archive 01"
Amazulu,Amazulu,"Too Good To Be Forgotten",https://www.discogs.com/release/481960,1986,"7"" - Archive 01"
"Amen Corner","Amen Corner","Hello Susie",https://www.discogs.com/release/6847750,1969,"7"" - Retro - 01"
America,America,"Horse With No Name / Ventura Highway",https://www.discogs.com/release/5115237,1985,"7"" - Playlist - 01"
America,America,"Ventura Highway",https://www.discogs.com/release/9776052,1972,"7"" - Archive 01"
"Amii Stewart","Amii Stewart",Friends,https://www.discogs.com/release/1784568,1984,"7"" - Archive 01"
"Amii Stewart","Amii Stewart",Jealousy,https://www.discogs.com/release/18022501,1979,"7"" - Archive 01"
"Amii Stewart","Amii Stewart","Knock On Wood",https://www.discogs.com/release/11841937,1978,"7"" - Playlist - 01"
"Amii Stewart","Amii Stewart","Light My Fire / 137 Disco Heaven",https://www.discogs.com/release/4642970,1979,"7"" - Archive 01"
"Amii Stewart","Amii Stewart","The Letter / Paradise Bird",https://www.discogs.com/release/2293792,1980,"7"" - Archive 01"
"Amii Stewart & Johnny Bristol","Amii Stewart & Johnny Bristol","My Guy, My Girl",https://www.discogs.com/release/1784565,1980,"7"" - Archive 01"
"Amy Grant","Amy Grant","Baby Baby",https://www.discogs.com/release/1802379,1991,"7"" - Playlist - 01"
"And Why Not?","And Why Not?","Restless Days (She Screams Out Loud)",https://www.discogs.com/release/1498958,1989,"7"" - Archive 01"
"Anders Glenmark","Anders Glenmark","One Night Stand",https://www.discogs.com/release/3935785,1977,"7"" - Archive 01"
"Andre Brasseur","André Brasseur","The Kid",https://www.discogs.com/release/18337516,1970,"7"" - Archive 01"
"Andrea Marcovicci","Andrea Marcovicci","I'm Dreamin'",https://www.discogs.com/release/9505173,1978,"7"" - Archive 01"
"Andrea True Connection","Andrea True Connection","(New York) You Got Me Dancing / Keep It Up Longer",https://www.discogs.com/release/1147055,1977,"7"" - Archive 01"
"Andrea True Connection","Andrea True Connection","More, More, More (Pt. 1)",https://www.discogs.com/release/4888181,1976,"7"" - Playlist - 01"
"Andrea True Connection","Andrea True Connection","Party Line",https://www.discogs.com/release/1635199,1976,"7"" - Archive 01"
"Andrew Gold","Andrew Gold","Lonely Boy",https://www.discogs.com/release/7469012,1976,"7"" - Archive 01"
"Andrew Gold","Andrew Gold","Never Let Her Slip Away",https://www.discogs.com/release/13061404,1978,"7"" - Archive 01"
